,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
5294,1305214003170349062,2020-09-13 18:37:22,"@jaymogarte There’s an event soon, i think. But i just want the samsung camera haha!",kate_justtwt,,,Moon,en
1740,1305214201288445953,2020-09-13 18:38:09,GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/imPjoCg4sG via @YouTube https://t.co/8l5CyQuvxe,canjura_susan,,,United States,en
4977,1305217004576612355,2020-09-13 18:49:18,My fiancée has played with the coloring app on my Samsung tablet. Here are some random pieces I found on my camera roll. https://t.co/C9Bu5Ros4n,j_bertho,,,"Montreal, Canada",en
4976,1305217652739244033,2020-09-13 18:51:52,On my Samsung S10 the tracking is generally good with Location set to 'allow all the time'. My brother's phone only has location setting of on or off and when his phone is not active it does not track his route. Except very occasionally when it does!,oxfordroly,,,Dorset,en
1830,1305219584723759112,2020-09-13 18:59:33,@QwaxzF @Randumb You can’t even make content on your 2 dollar Samsung fridge screen with your 1 cent Gameboy 🤣,SoulSeekerPanda,,,The Loop,en
315,1305220855740260352,2020-09-13 19:04:36,Omg 😍😍😍😍 GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/jhSB2iATLp via @YouTube,Nessg13,,"Union City, CA","Union City, CA",en
3915,1305220913785458688,2020-09-13 19:04:50,Samsung definitely has my attention. And you know ... I'm in the market for a new phone. 👀👀👀 https://t.co/KLulluTRcY,kittievante,,,nowhere,en
2951,1305220992562876416,2020-09-13 19:05:09,@bethkayoktober @NThornback @lvmyfmly @KarluskaP Okay maybe that's why. I have the Twitter app on a Samsung phone. You wouldn't think that should matter though but I can still see everything on his twitter account.,RedwaveIsComing,,,U.S.,en
2950,1305222182163877890,2020-09-13 19:09:52,I don't need 2 watches. Anyone interested in buying a Samsung Galaxy Watch Active rose gold? Serious inquiries only.,MzLicy,,,USA,en
1922,1305223847151652865,2020-09-13 19:16:29,GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/H56Ayce8eI via @YouTube #JIN #KOOKIE 💜😍💜,raquelG97514421,,,Houston Texas,en
1921,1305224500448030726,2020-09-13 19:19:05,"Dear Samsung,

Thank you for allowing me to split screen apps on my phone so I can work and watch football... That is all. Happy Football everyone!",JoshBeardRadio,,,"Houston, TX",en
2949,1305224613337747457,2020-09-13 19:19:32,"#kronu 
2PCS Screen Protector Tempered Glass For Samsung Galaxy S5 https://t.co/ZGyjbXYIRi",goKRONU,,,United States,en
2704,1305226781419503624,2020-09-13 19:28:09,eSwish Gel TPU Phone Case/Cover for Samsung Galaxy S10e / Rottweiler Design/Popular Dog/Canine Breeds Collection https://t.co/J4LKKWx9tE https://t.co/f7VpQTOvYG,dog_inspire,,,"Pennsylvania, US ",en
5054,1305226951578140672,2020-09-13 19:28:49,reviewers don't talk enough about how bad samsung's software is. if i paid $1000 for a plastic phone with ads in the speed dial I'd be pissed,notlilcchapelle,,,"Gresham, OR",en
4880,1305228175098740742,2020-09-13 19:33:41,my phone is charging this nigga @LocksGeechi phone without a cord lol Samsung for life,kimanidee,,,401,en
4639,1305228241045794816,2020-09-13 19:33:57,@OwenCallan Samsung pay is very popular in America for the ability to mimic a swiping a card on your phone. So you can effectively tap on swipe card machines.,RayMinehane,,,Ireland,en
332,1305231286697590785,2020-09-13 19:46:03,"Wow! This ad is 🔥.

GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/6Ov57ap7rb via @YouTube",lourdesarauz02,,,"Denver, CO",en
2948,1305232853702184960,2020-09-13 19:52:17,@seokjingersnap Okay but no lie. I’m really going to switch to Samsung if  🍎 drops the ball this year. My phone should not be as slow as it is.,NapsIntheSun,,,USA,en
3858,1305235321718673411,2020-09-13 20:02:05,Behind the new Samsung Fold: how the quest to maximise screen size is driving major innovation - https://t.co/rcQYeYSiVW,TroubledDays,,,"Alaska, USA",en
5290,1305235322523906048,2020-09-13 20:02:05,Behind the new Samsung Fold: how the quest to maximise screen size is driving major innovation - https://t.co/U9olmfnfQ9,LimelightFlash,,,Alaska,en
4879,1305235712850251776,2020-09-13 20:03:38,@debatenothate2 I still haven't recovered from going from my brill Nokia lol (fantastic camera) to a Samsung Galaxy. Call it a learning curve 😉,Susannah_J3,,,Yorkshire ,en
4975,1305239383633735680,2020-09-13 20:18:13,@sapnap @GeorgeNotFound @jamescharles It’s okay Samsung Galaxy Watch 46mm Silv . https://t.co/8iipCsdm9t,EmxpLr,,,"Springfield, MA",en
2778,1305240009985814529,2020-09-13 20:20:43,@peacockTV - how do I watch @premierleague games on my Samsung?! I used to watch via Airplay from @NBCSports —- I subscribed to Peacock &amp; have to watch on my phone? WTH,frugaladventure,,,California,en
2579,1305241655520395265,2020-09-13 20:27:15,Lol shot and edit this on my Samsung  phone... boredom e no good 😫😫😫 https://t.co/jJRuniohFB,JasmineTush,,,somewhere far,en
1735,1305241681718136833,2020-09-13 20:27:21,@Fitzperfect317 @tomecurran Samsung Q90T. It was a choice between QLED and OLED. For me a brighter screen was more appealing than deeper and truer blacks so I went QLED.,asharsaleem121,,,United States,en
2544,1305245354640588801,2020-09-13 20:41:57,"@roywoodjr I blew on my phone because of all that debris? Apparently  I'm level 1 auntie because my phone is  Samsung S10 with a large memory card, I'm waiting to get a foldable.  Give me about 15 years to make level 2, then I get an Infiniti and my very own mac and cheese recipe.",finnessawilliam,,"Michigan, USA","Michigan, USA",en
3856,1305245387444412426,2020-09-13 20:42:05,"@DonnaK39 @ReignsIrish @voicefanatic36 @SmallcageGG @melbprieto @Chiku291213 @psiangelic @DeloresCrichton @MellorineBella @mpup23 @chrisnewleaf @CDashchi @HEATHEREIGN76 @Wagonmaster4 @SweetGirlyGirl7 @automotor16 @shaemiller6 @WwekyGirl90 @BlueRos90487436 @lunalover25 @SueChildress5 @JoDresbach @MachaeNichols @Oma81307 @MelissaPrietoA1 @AmieNicoleAlle3 @flasis39 @BigDoggsYARD @reigns_page @Hayyan96135531 @CanovaCornwell @BettyAn02327824 @Lizziepops0 @eurodeeva21 I have the ""All Video Downloader"" app to download them. I have a Samsung phone.",Cabecki68,,,Somewhere in Germany,en
3855,1305248654379245569,2020-09-13 20:55:04,"⭐️⭐️⭐️Wow, wow, wow!⭐️⭐️S⭐️.  . 

Samsung takes advertising to a new level...really makes me want to buy a Samsung phone.

So creative!!!

#BTS_twt

GalaxyxBTS: The Strange Tailor Shop 👔 | Samsung https://t.co/cKcAog5pj3 via @YouTube",lollyfish55,,,"Oregon, USA",en
4737,1305250316808523776,2020-09-13 21:01:40,"@peacockTV It is ridiculous you don’t have a Samsung ready app. Why the hell did I spend so much money on home entertainment to watch games on my laptop? What a stupidly managed company, rushing an unfinished product to market.",jtmoney2828,,,"Austin, TX",en
